FamilyName,FirstName
TANNŪS, Master As'ad
TAUSSIG, Mrs Tillie
TAUSSIG, Miss Ruth
TAYLOR, Mr Elmer Zebley
TAYLOR, Mrs Juliet Cummins
TAYLOR, Mr George
TAYLOR, Mr William Henry
TENGLIN, Mr Gunnar Isidor
TERRILL, Mr Frank
THAYER, Mrs Marian Longstreth
THAYER, Mr John Borland
THEISSINGER, Mr Alfred
THOMAS, Mr Benjamin James
THOMAS, Mr Albert Charles
THOMPSON, Mr John William
THORNE, Miss Gertrude Mabelle
THORNEYCROFT, Mrs Florence Kate
THRELFALL, Mr Thomas
THRESHER, Mr George Terrill
TOMS, Mr Fred
TOOMEY, Miss Ellen Mary
TÖRNQVIST, Mr Johan Vilhelm Henrik
TRIGGS, Mr Robert
TROUT, Mrs Jessie Laird
TROUTT, Miss Edwina Celia
TU'MAH, Mrs Hinnah
TU'MAH, Miss Mariyam
TU'MAH, Master Jirjis Yūsuf
TUCKER, Mr Gilbert Milligan jr
TURJA, Miss Anna Sofia
TURKULA, Mrs Hedwig
VARTANIAN, Mr David
VIGOTT, Mr Philip Francis
WALLCROFT, Miss Ellen 'Nellie'
WARD, Miss Annie Moore
WARD, Mr William
WARE, Mrs Florence Louise
WARREN, Mrs Anna Sophia
WATT, Mrs Elizabeth
WATT, Miss Robertha Josephine
WEBBER, Miss Susan
WEIKMAN, Mr Augustus Henry
WEISZ, Mrs Mathilde Françoise
WELLER, Mr William Clifford
WELLS, Mrs Addie Dart
WELLS, Miss Joan
WELLS, Master Ralph Lester
WENNERSTRÖM, Mr August
WEST, Mrs Ada Mary
WEST, Miss Constance Miriam
WEST, Miss Barbara Joyce
WHEAT, Mr Joseph Thomas
WHEELTON, Mr Edenser Edward
WHILEMS, Mr Charles
WHITE, Mrs Ella Holmes
WHITE, Mr Alfred
WHITE, Mr William George
WHITELEY, Mr Thomas Arthur
WICK, Mrs Mary Peebles
WICK, Miss Mary Natalie
WIDENER, Mrs Eleanor
WIDGERY, Mr Isaac George
WILKES, Mrs Ellen
WILKINSON, Mrs Elizabeth Anne
WILLARD, Miss Constance
WILLIAMS, Mr Richard Norris
WILLIAMS, Mr Charles Eugene
WILLIAMS, Mr Walter John
WILSON, Miss Helen Alice
WINDEBANK, Mr Alfred Edgar
WITTER, Mr James William Cheetham
WOOLNER, Mr Hugh
WRIGHT, Miss Marion
WRIGHT, Mr William
WYNN, Mr William
YAZBAK, Mrs Sīlānah Iskandar Nāsīf Abī Dāghir
YEARSLEY, Mr Harry
YOUNG, Miss Marie Grice
YŪSUF, Mrs Kātrīn
YŪSUF, Master Michael (Shafīq) Peter
YŪSUF, Miss Nabīah (Mary)
ABBOTT, Mrs Rhoda Mary 'Rosa'
ABELSETH, Miss Kalle (Karen) Marie Kristiane
ABELSETH, Mr Olaus Jørgensen
ABELSON, Mrs Anna
ABĪ SA'B, Mrs Sha'nīnah
ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim
ABRAHAMSSON, Mr August Abraham Johannes
AKS, Mrs Leah
AKS, Master Philip
AL-BA'QLĪNĪ, Mrs Laṭīfah
AL-BA'QLĪNĪ, Miss Mārīyā
AL-BA'QLĪNĪ, Miss Ūwjīnīyā
